t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
 9	0.9	neg	HI	 9.506185e-02	 8.380615e-02	 1.062023e-01	 0.096400181	 0.087161485	 0.108305952	 0.15618513	 0.13763020	 0.17382807	 0.158049265	 0.138189495	 0.180932607	0.04828544	0.04408800	0.05213500	4.646228e-02	4.585100e-02	4.703200e-02
 9	0.9	pos	CGF	 1.084236e-01	 8.973392e-02	 1.251353e-01	 0.085709194	 0.054677135	 0.117081062	 0.19480249	 0.16293681	 0.23337648	 0.153665478	 0.110349910	 0.193927610	0.79263347	0.78478525	0.80166252	NA	NA	NA
 9	0.9	pos	HI	 1.065484e-01	 9.629867e-02	 1.175064e-01	 0.097367419	 0.086170698	 0.109696503	 0.17501817	 0.15967196	 0.19079507	 0.158047194	 0.136253330	 0.182691830	0.77268621	0.75670417	0.78669084	3.398737e+13	3.398737e+13	3.398737e+13
10	0.0	neg	CGF	 8.072075e-02	 7.377645e-02	 8.536629e-02	 0.081327958	 0.077199752	 0.085719345	 0.09391608	 0.08795130	 0.09974801	 0.094394739	 0.088432975	 0.100386897	0.06901351	0.06446984	0.07417559	6.861842e-02	6.429558e-02	7.217681e-02
10	0.0	neg	HI	 8.976960e-02	 8.713670e-02	 9.262286e-02	 0.089818114	 0.086813905	 0.092807958	 0.08994533	 0.08726645	 0.09279809	 0.090050077	 0.086909073	 0.092434053	0.08977096	0.08684000	0.09310921	9.027721e-02	8.665920e-02	9.360926e-02
10	0.0	pos	CGF	 4.927860e+10	 7.950062e-02	 1.394677e+11	 0.078608263	 0.075288664	 0.082734245	 0.09205996	 0.08585630	 0.09822050	 0.088032384	 0.080468760	 0.094962605	0.22132890	0.21636828	0.22581710	7.652541e-02	7.519000e-02	7.785600e-02
10	0.0	pos	HI	 9.324152e-02	 8.952200e-02	 9.598360e-02	 0.092067797	 0.087893130	 0.095576645	 0.09340982	 0.08919502	 0.09674963	 0.092027056	 0.088002257	 0.095266573	0.09352493	0.08953686	0.09668085	9.220162e-02	8.856084e-02	9.498511e-02
10	0.9	neg	CGF	 7.820546e-02	 6.550804e-02	 8.819640e-02	 0.083325559	 0.074076957	 0.093490667	 0.13936281	 0.11869677	 0.15620063	 0.145551207	 0.127814227	 0.160427907	NA	NA	NA	NA	NA	NA
10	0.9	neg	HI	 9.399420e-02	 8.830325e-02	 1.001045e-01	 0.096025126	 0.090206155	 0.102112085	 0.15037412	 0.14053971	 0.15833717	 0.153607338	 0.142886445	 0.163050440	0.04608635	0.04597200	0.04623500	NA	NA	NA
10	0.9	pos	CGF	 1.044686e-01	 9.457545e-02	 1.142661e-01	 0.085482093	 0.069285015	 0.099980253	 0.18476331	 0.16351137	 0.20611818	 0.151664304	 0.122200465	 0.174951492	0.79906807	0.78576884	0.81181356	NA	NA	NA
