t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
 2	0.9	neg	0.05363453	0.04903259	0.05838507	0.9843760	0.9700368	1.0040383	0.06754170	0.06217912	0.07387116	1.0354328	1.0226283	1.0536532	0.9124168	0.9058436	0.9192340	0.9092331	0.9037210	0.9158820	HI	0.4999965	0.2261854267	0.9074234	0.09257669	8.375800e-02	-1.627841e-01	0.9209740
 2	0.9	pos	6.10344126	6.02646676	6.16056201	1.0040422	0.9894858	1.0152437	7.28239949	7.20378399	7.34836132	1.0566972	1.0390366	1.0696889	1.9746380	1.9645654	1.9871741	0.9193623	0.9125589	0.9272420	HI	0.5000161	0.2271843856	0.9074230	0.09257669	8.412792e-02	 8.757689e-01	1.9598966
20	0.0	neg	1.00641343	0.98712245	1.02629856	1.0072955	0.9870144	1.0272581	1.00838245	0.98787738	1.03088421	1.0092965	0.9900838	1.0291038	1.0059462	0.9964653	1.0193511	1.0063128	0.9959235	1.0206622	HI	0.4999473	0.0001251717	0.9074242	0.09257669	4.635192e-05	-9.008516e-05	0.9999572
20	0.0	pos	1.00008534	0.97674524	1.01929305	1.0018457	0.9820068	1.0230270	1.00078653	0.97998636	1.02216956	1.0004150	0.9778586	1.0238615	0.9990125	0.9873070	1.0109371	0.9981828	0.9889955	1.0112500	HI	0.5000260	0.0001251292	0.9074228	0.09257669	4.633618e-05	 4.823582e-04	1.0005282
20	0.9	neg	0.19415503	0.18550094	0.20232210	1.0056890	0.9917001	1.0240264	0.21578085	0.20787548	0.22435129	1.0366437	1.0190174	1.0543275	0.9724268	0.9609510	0.9827239	0.9709207	0.9612454	0.9798728	HI	0.4999934	0.0904491089	0.9074234	0.09257669	3.349392e-02	-6.509559e-02	0.9683984
20	0.9	pos	5.22868146	5.11641978	5.32445714	0.9934496	0.9778388	1.0097601	5.57796443	5.43395409	5.68386505	1.0207070	1.0008629	1.0396116	1.3714244	1.3552500	1.3851127	0.9583268	0.9493429	0.9673002	HI	0.4999909	0.0910954494	0.9074235	0.09257669	3.373326e-02	 3.511622e-01	1.3848956
 3	0.0	neg	0.64630015	0.63337077	0.65823268	0.9967130	0.9770129	1.0148198	0.66208949	0.64798346	0.67611543	1.0091015	0.9944112	1.0236000	0.9838379	0.9735305	0.9942108	0.9833145	0.9729580	0.9924784	HI	0.5000109	0.0310019139	0.9074231	0.09257669	1.148022e-02	-2.231186e-02	0.9891682
 3	0.0	pos	2.98141627	2.87765957	3.09140724	0.9910290	0.9730076	1.0156738	3.02250745	2.91820613	3.13422146	1.0025718	0.9809071	1.0216418	1.1338542	1.1200596	1.1543143	0.9828888	0.9708919	0.9943187	HI	0.4999997	0.0317547506	0.9074233	0.09257669	1.175900e-02	 1.224108e-01	1.1341698
 3	0.9	neg	0.05809770	0.05223732	0.06450826	1.0039198	0.9877919	1.0166173	0.07324006	0.06700958	0.08009990	1.0524996	1.0384396	1.0695988	0.9298522	0.9230152	0.9379604	0.9266311	0.9186175	0.9339670	HI	0.4999903	0.2139431931	0.9074235	0.09257669	7.922461e-02	-1.539734e-01	0.9252514
 3	0.9	pos	6.07185176	5.99486588	6.15561082	0.9938160	0.9704999	1.0133805	7.17236267	7.08634635	7.26907948	1.0460215	1.0231542	1.0707075	1.9118953	1.8966111	1.9291729	0.9123323	0.8963838	0.9278390	HI	0.4999891	0.2155821633	0.9074235	0.09257669	7.983154e-02	 8.310438e-01	1.9108755
 4	0.0	neg	0.87607526	0.86137144	0.89051577	1.0080449	0.9921876	1.0212252	0.88239877	0.86511566	0.89615978	1.0131203	0.9953936	1.0311407	0.9962479	0.9873431	1.0039677	0.9962993	0.9893711	1.0038903	HI	0.5000508	0.0154762439	0.9074224	0.09257669	5.730958e-03	-1.113814e-02	0.9945919
 4	0.0	pos	1.72699127	1.68625790	1.76353689	1.0098056	0.9965005	1.0255329	1.73910250	1.70558525	1.77543881	1.0155478	1.0005256	1.0286620	1.0740729	1.0672200	1.0820354	0.9983306	0.9919512	1.0043892	HI	0.4999779	0.0158654708	0.9074237	0.09257669	5.875091e-03	 6.115951e-02	1.0670350
 4	0.9	neg	0.05903111	0.05445531	0.06485914	1.0098570	1.0018626	1.0191398	0.07454360	0.06911108	0.08035762	1.0596451	1.0489426	1.0674954	0.9331343	0.9271482	0.9392958	0.9304262	0.9243770	0.9370268	HI	0.4999740	0.2035955777	0.9074238	0.09257669	7.539282e-02	-1.465263e-01	0.9288670
 4	0.9	pos	6.05081212	5.96553940	6.14104389	0.9956788	0.9815673	1.0100162	7.08741876	6.98142433	7.18981058	1.0443763	1.0295340	1.0586918	1.8694693	1.8566539	1.8824863	0.9217073	0.9144235	0.9286406	HI	0.4999672	0.2043946301	0.9074239	0.09257669	7.568872e-02	 7.879171e-01	1.8636064
 5	0.0	neg	0.95594150	0.94446202	0.96714861	0.9940493	0.9799108	1.0064674	0.95806051	0.94236068	0.97164283	0.9974059	0.9834105	1.0097100	0.9920784	0.9826754	1.0005167	0.9925871	0.9840924	0.9996659	HI	0.4999490	0.0078479200	0.9074242	0.09257669	2.906138e-03	-5.648093e-03	0.9972590
 5	0.0	pos	1.23316557	1.20399366	1.25967203	1.0115825	0.9931033	1.0345194	1.23486488	1.20368051	1.26384713	1.0134208	0.9960779	1.0344887	1.0379376	1.0260662	1.0502897	1.0004350	0.9876184	1.0104509	HI	0.4999708	0.0080096888	0.9074238	0.09257669	2.966042e-03	 3.087640e-02	1.0338430
