t	P	cov	model	h2_standard.mean	h2_standard.CI95l	h2_standard.CI95r	h2_standard_ganc.mean	h2_standard_ganc.CI95l	h2_standard_ganc.CI95r	h2_varX.mean	h2_varX.CI95l	h2_varX.CI95r	h2_varX_ganc.mean	h2_varX_ganc.CI95l	h2_varX_ganc.CI95r	h2_ld.mean	h2_ld.CI95l	h2_ld.CI95r	h2_ld_ganc.mean	h2_ld_ganc.CI95l	h2_ld_ganc.CI95r
 8	0.0	pos	CGF	0.7733337	0.7712185	0.7749267	0.7732176	0.7718379	0.7746571	0.7758530	0.7741520	0.7776886	0.7756816	0.7742422	0.7776398	0.7997885	0.7985853	0.8011665	0.7770661	0.7757501	0.7786465
 8	0.0	pos	HI	0.8001049	0.7982575	0.8023996	0.8001306	0.7978857	0.8027329	0.7999787	0.7978165	0.8020119	0.8000417	0.7979436	0.8026695	0.8005752	0.7989009	0.8021085	0.8005161	0.7987165	0.8022981
 8	0.9	neg	CGF	0.8090815	0.8060473	0.8120302	0.8094027	0.8063866	0.8123162	0.8178275	0.8150767	0.8206736	0.8180009	0.8154105	0.8206502	0.7990809	0.7970911	0.8010585	0.7986969	0.7971952	0.8005145
 8	0.9	neg	HI	0.8103196	0.8091818	0.8115803	0.8103193	0.8087988	0.8115750	0.8192109	0.8180062	0.8203217	0.8191810	0.8181011	0.8202188	0.8002363	0.7983164	0.8019459	0.7999224	0.7985910	0.8010934
 8	0.9	pos	CGF	0.7017245	0.6996909	0.7037564	0.7014714	0.6996344	0.7038923	0.7137356	0.7117394	0.7155668	0.7135429	0.7115535	0.7154556	0.7991878	0.7979578	0.8005357	0.6875141	0.6856296	0.6899942
 8	0.9	pos	HI	0.7002960	0.6981972	0.7023479	0.7001121	0.6977099	0.7020137	0.7123843	0.7101232	0.7147632	0.7120532	0.7099046	0.7141448	0.8005054	0.7991747	0.8022443	0.6869321	0.6838827	0.6892643
 9	0.0	neg	CGF	0.8006448	0.7987029	0.8028216	0.8006005	0.7988169	0.8027413	0.8029685	0.8010939	0.8052526	0.8029002	0.8011037	0.8048740	0.7995547	0.7983905	0.8007187	0.7998553	0.7986084	0.8011752
 9	0.0	neg	HI	0.8001216	0.7977307	0.8023740	0.8002422	0.7972495	0.8024875	0.8000963	0.7964981	0.8024053	0.8002433	0.7978930	0.8027660	0.7997283	0.7980571	0.8015103	0.7996119	0.7977627	0.8015718
 9	0.0	pos	CGF	0.7784716	0.7765086	0.7804327	0.7784231	0.7758707	0.7806367	0.7809798	0.7790751	0.7827141	0.7808201	0.7785550	0.7827981	0.8011368	0.7995869	0.8028711	0.7809442	0.7786931	0.7827292
 9	0.0	pos	HI	0.7988395	0.7960522	0.8018750	0.7989862	0.7966515	0.8017307	0.7991282	0.7966943	0.8014860	0.7987608	0.7963511	0.8014408	0.8001385	0.7975943	0.8024446	0.7999598	0.7972501	0.8021593
